;numero usuarios;Utilidade 12;Qtd Sujeira 12;Utilidade 6;Qtd Sujeira 6;Utilidade 3;Qtd Sujeira 3
1;5;263,334;21,723;889,627;19,458;2291,174;41,275
2;10;13,894;14,061;1115,172;27,335;2778,038;58,666
3;15;-125,089;16,48;1230,658;35,733;3193,055;77,887
4;20;-143,278;20,643;1347,535;45,607;3500,703;99,844
5;25;-197,885;24,868;1458,887;55,406;3709,672;124,194
6;30;-386,685;30,18;1524,933;67,229;3816,488;147,339
7;35;-320,634;34,606;1594,833;78,351;3898,412;173,256
8;40;-547,383;40,47;1601,343;90,757;3954,451;196,273
9;45;-540,486;45,51;1630,672;103,618;3907,793;221,048
10;50;-702,122;52,4;1528,419;117,738;3872,807;246,925
11;55;-896,975;58,411;1502,095;132,574;3760,783;271,286
12;60;-927,357;64,659;1445,302;147,065;3621,052;290,371
13;65;-1138,926;71,66;1336,071;161,986;3509,329;314,101
14;70;-1217,38;78,862;1288,962;178,541;3235,257;337,815
15;75;-1325,543;86,969;1182,654;191,981;3075,967;356,454
